,0,1,2,3,4,5
0,-1.83157,0.60394305,-0.25377116,-0.11302069,-0.22997321,-0.16096921
1,-0.88047856,-1.6540531,1.2782276,1.2758853,-1.4239511,-0.65725183
2,0.2294408,1.114189,0.33506492,0.29132748,-0.6914784,-0.7013308
3,-1.5937511,-0.9959678,0.16423306,-0.0889954,-0.24647449,0.4184589
4,1.3920174,-1.357056,0.9936349,0.62191087,-1.0228853,-0.1696121
5,1.2313938,-0.5899933,-0.12666902,-0.45058146,0.33516967,0.63181067
6,0.1723092,-0.2065553,-0.902962,-0.69789577,1.0121946,0.7119706
7,0.054660127,0.4509735,-0.3631451,-0.56303704,0.56016207,0.37758628
8,0.60760933,-0.7655242,0.5728276,-0.23334154,-0.05558625,0.50005984
9,1.1708944,1.2427857,0.94078135,0.44007438,-0.78975725,-0.8679583
10,-1.1575565,-0.22180736,-1.0482563,-0.6967978,0.90329695,0.7218759
11,0.6292637,-1.8893471,1.5081117,1.7252529,-1.7939028,-1.0335288
12,0.5614106,0.122157745,-0.96429366,-0.71782833,1.0420614,0.633555
13,-1.3471177,-0.3884346,-0.78850335,-0.60620534,0.73965263,0.70801157
14,0.37335652,0.8835526,0.8737064,-0.20293336,-0.1058756,-0.10566129
15,-0.41580713,-1.2718328,0.36231247,0.1793108,-0.5416491,0.26741025
16,0.7095961,0.7734538,1.0845331,-0.20218343,-0.0815627,-0.049431797
17,-1.1685697,1.443175,0.89639705,0.89640486,-1.1659343,-1.387762
18,-1.1326854,-1.0998251,0.30075043,0.040817887,-0.33638898,0.35631558
19,0.73176414,0.4538222,-0.58391696,-0.4967301,0.3795777,0.32287803
20,-0.30157167,-2.526992,2.1433024,3.699291,-2.8655553,-2.65877
21,1.1737064,-0.59803265,-0.15647697,-0.45505625,0.34630483,0.63746756
22,-0.031898335,-0.4857729,-0.3470804,-0.5764447,0.594195,0.7149795
23,0.5034868,-0.78318,0.33999822,-0.275922,0.007134229,0.5385256
24,-2.0413625,-0.06681656,-1.272483,-0.63615376,0.77374816,0.6126672
25,0.08987932,0.8829248,0.7887139,-0.19129185,-0.12369037,-0.12762198
26,-0.2643177,-1.2762154,0.40071926,0.18872881,-0.5553917,0.25834838
27,-1.8666334,0.00839711,-1.0203564,-0.63183427,0.73546183,0.5908316
28,-0.4990819,2.8730962,2.8560119,5.296417,-3.5794978,-6.06762
29,1.5218676,0.6235972,-0.19444892,-0.44571716,0.30682635,0.25058103
30,-0.01984723,-0.09582793,-1.7401507,-0.7570556,1.2638031,0.6961625
31,-0.14400597,0.46255982,-0.093751036,-0.6469972,0.7187823,0.4685765
32,0.83386153,-0.619387,-0.2251724,-0.49302977,0.42483503,0.68608886
33,-0.41446757,1.7115782,1.523415,1.3029802,-1.4700668,-1.8660982
34,0.77349955,1.6446314,1.4962014,1.0234275,-1.3166729,-1.5539143
35,-0.13747744,2.068596,1.8178539,2.9023993,-2.3997183,-3.5464077
36,-1.1931856,-1.669732,1.0536636,1.4317621,-1.5398613,-0.8179869
37,-0.22365697,-0.4639616,-0.36287686,-0.5825554,0.6050145,0.71246135
